container_id,shipment_id,fruit_type,origin,destination,temperature,humidity,vibration,battery_level,door_status,container_status,latitude,longitude,timestamp
C054,S00004,Papaya,Hyderabad,Kolkata,5.41,94.06,0.38,97,Closed,Unloading,17.421495,78.461733,2026-07-08 00:35:55
C040,S00115,Pineapple,Ahmedabad,Hyderabad,5.54,73.77,4.24,97,Closed,Loading,22.982073,72.537728,2026-07-06 04:14:55
C090,S00601,Mango,Delhi,Ahmedabad,3.3,85.17,1.72,86,Closed,Loading,28.608458,77.251515,2026-07-07 08:13:55
C013,S00037,Pomegranate,Bangalore,Delhi,3.01,86.16,0.46,73,Closed,In Transit,12.938928,77.576714,2026-07-11 09:48:55
C100,S00919,Strawberry,Pune,Kolkata,4.44,74.68,3.41,82,Closed,In Transit,18.517567,73.861896,2026-07-07 12:24:55
C048,S00986,Papaya,Mumbai,Chennai,6.51,80.48,0.6,81,Closed,In Transit,19.026708,72.831016,2026-07-05 23:09:55
C100,S00475,Apple,Hyderabad,Pune,5.69,83.74,4.34,95,Closed,Loading,17.361912,78.444939,2026-07-09 13:08:55
C038,S00296,Papaya,Mumbai,Hyderabad,6.01,83.64,0.57,91,Closed,Loading,19.067679,72.910783,2026-07-06 16:09:55
C045,S00647,Strawberry,Delhi,Hyderabad,4.86,86.33,2.52,84,Closed,Delivered,28.648332,77.196029,2026-07-05 07:26:55
C098,S00466,Apple,Mumbai,Delhi,5.93,71.74,0.13,88,Closed,In Transit,19.031247,72.852477,2026-07-10 13:57:55
C012,S00454,Banana,Kolkata,Hyderabad,6.23,94.14,4.96,91,Closed,In Transit,22.596631,88.363679,2026-07-06 02:19:55
C063,S00791,Mango,Bangalore,Delhi,3.6,82.83,4.07,96,Closed,In Transit,12.956113,77.592909,2026-07-08 11:40:55
C052,S00735,Grapes,Chennai,Pune,2.54,94.42,2.52,85,Closed,In Transit,13.129923,80.306108,2026-07-05 19:50:55
C002,S00408,Apple,Kolkata,Pune,5.04,78.67,4.71,86,Closed,Loading,22.617608,88.397815,2026-07-09 05:22:55
C078,S00598,Pineapple,Bangalore,Kolkata,3.28,91.44,0.88,76,Closed,Delivered,12.945739,77.570898,2026-07-07 03:19:55
C082,S00813,Pomegranate,Chennai,Pune,2.26,75.79,4.36,95,Closed,Delivered,13.085414,80.307308,2026-07-11 04:24:55
C079,S00173,Orange,Delhi,Ahmedabad,4.29,82.47,2.89,97,Closed,In Transit,28.624604,77.169224,2026-07-05 02:50:55
C100,S00827,Banana,Hyderabad,Chennai,3.35,80.66,3.34,81,Closed,In Transit,17.407295,78.458261,2026-07-10 03:57:55
C078,S00596,Mango,Kolkata,Hyderabad,6.34,79.14,0.27,81,Closed,Loading,22.613856,88.345465,2026-07-09 14:51:55
C062,S00964,Papaya,Ahmedabad,Kolkata,6.39,88.66,0.48,88,Closed,In Transit,23.032737,72.587449,2026-07-09 11:41:55
C083,S00255,Apple,Ahmedabad,Chennai,5.75,76.17,1.09,100,Open,In Transit,23.034447,72.547603,2026-07-08 23:29:55
C094,S00016,Kiwi,Mumbai,Ahmedabad,3.03,80.12,3.78,81,Closed,In Transit,19.030371,72.832321,2026-07-06 21:42:55
C094,S00804,Orange,Mumbai,Chennai,6.39,81.56,4.41,98,Closed,In Transit,19.030922,72.918251,2026-07-06 02:44:55
C001,S00571,Apple,Pune,Chennai,7.74,94.65,0.48,100,Closed,In Transit,18.55197,73.871969,2026-07-08 23:24:55
C030,S00146,Apple,Mumbai,Pune,5.54,73.27,0.39,83,Closed,In Transit,19.057929,72.851422,2026-07-10 06:58:55
C018,S00664,Apple,Ahmedabad,Bangalore,5.12,81.0,4.59,87,Closed,In Transit,23.068759,72.546004,2026-07-05 16:59:55
C094,S00595,Orange,Mumbai,Delhi,2.41,80.4,1.75,91,Closed,Loading,19.042392,72.902089,2026-07-05 02:10:55
C079,S00199,Pomegranate,Delhi,Hyderabad,5.02,88.23,0.94,85,Closed,Loading,28.65236,77.165936,2026-07-09 00:28:55
C020,S00270,Apple,Hyderabad,Mumbai,2.6,81.85,1.07,78,Closed,In Transit,17.339194,78.516511,2026-07-10 10:28:55
C036,S00640,Orange,Bangalore,Kolkata,3.55,89.17,3.63,98,Closed,Loading,13.010595,77.592287,2026-07-06 22:49:55
C034,S00899,Papaya,Delhi,Pune,6.66,82.24,4.66,100,Closed,Unloading,28.660225,77.225612,2026-07-07 20:14:55
C013,S00195,Pomegranate,Chennai,Ahmedabad,7.75,71.87,4.68,80,Closed,Delivered,13.072848,80.236391,2026-07-08 04:17:55
C024,S00633,Pineapple,Bangalore,Pune,2.65,72.06,2.36,80,Closed,In Transit,12.988515,77.582048,2026-07-10 13:30:55
C054,S00139,Papaya,Pune,Mumbai,2.99,84.02,1.63,97,Closed,In Transit,18.528415,73.846445,2026-07-08 15:25:55
C099,S00369,Papaya,Mumbai,Kolkata,5.76,73.89,3.28,71,Closed,In Transit,19.04756,72.921617,2026-07-06 06:54:55
C014,S00361,Pineapple,Mumbai,Ahmedabad,3.79,88.36,2.47,98,Closed,Unloading,19.031147,72.91454,2026-07-05 09:34:55
C022,S00070,Mango,Hyderabad,Pune,3.55,84.37,4.91,92,Closed,In Transit,17.429688,78.51651,2026-07-09 22:32:55
C083,S00257,Apple,Pune,Hyderabad,5.52,81.61,0.25,95,Closed,Unloading,18.492686,73.860653,2026-07-07 01:12:55
C063,S00473,Grapes,Chennai,Hyderabad,6.84,83.25,4.53,76,Closed,Loading,13.103225,80.293866,2026-07-10 18:23:55
C073,S00652,Papaya,Pune,Kolkata,2.09,89.38,4.02,96,Open,In Transit,18.529196,73.841778,2026-07-07 09:53:55
C053,S00867,Strawberry,Kolkata,Pune,4.86,90.25,2.83,71,Closed,In Transit,22.620175,88.349005,2026-07-08 18:34:55
C002,S00893,Kiwi,Delhi,Chennai,2.24,75.91,1.96,77,Closed,In Transit,28.652882,77.211726,2026-07-06 21:37:55
C047,S00764,Grapes,Pune,Bangalore,5.68,85.08,4.68,83,Closed,Unloading,18.542862,73.885628,2026-07-11 11:21:55
C014,S00561,Grapes,Delhi,Bangalore,4.93,83.19,2.63,87,Closed,In Transit,28.582384,77.210115,2026-07-05 01:46:55
C080,S00564,Mango,Chennai,Delhi,7.2,87.1,1.25,77,Closed,Loading,13.112901,80.262705,2026-07-09 06:39:55
C081,S00262,Pineapple,Delhi,Hyderabad,3.86,79.55,1.98,98,Closed,In Transit,28.63067,77.249725,2026-07-09 13:22:55
C057,S00344,Banana,Hyderabad,Mumbai,7.26,71.57,1.71,83,Closed,Loading,17.340511,78.448455,2026-07-07 08:04:55
C038,S00631,Banana,Kolkata,Hyderabad,5.98,73.08,3.13,77,Closed,Unloading,22.570149,88.384374,2026-07-04 12:58:55
C017,S00434,Mango,Kolkata,Ahmedabad,6.5,83.85,3.99,86,Closed,In Transit,22.598371,88.317606,2026-07-08 10:58:55
C060,S00422,Pomegranate,Mumbai,Kolkata,7.13,77.83,2.2,94,Closed,In Transit,19.102086,72.880038,2026-07-10 15:20:55
C007,S00255,Mango,Ahmedabad,Kolkata,3.49,89.07,1.71,80,Closed,In Transit,23.057465,72.609957,2026-07-06 15:09:55
C086,S00775,Banana,Ahmedabad,Mumbai,5.43,85.43,0.95,82,Closed,Loading,23.060556,72.578361,2026-07-08 20:49:55
C039,S00211,Papaya,Bangalore,Kolkata,7.69,79.61,1.5,94,Closed,Loading,12.968785,77.593244,2026-07-06 14:01:55
C014,S00559,Pineapple,Chennai,Hyderabad,5.65,73.62,4.74,75,Closed,In Transit,13.093076,80.294192,2026-07-06 03:15:55
C081,S00705,Papaya,Kolkata,Chennai,2.79,82.02,0.12,94,Closed,In Transit,22.59844,88.359946,2026-07-05 01:35:55
C092,S00281,Pineapple,Chennai,Ahmedabad,7.37,85.79,0.06,80,Closed,Delivered,13.070805,80.301653,2026-07-06 13:43:55
C084,S00934,Strawberry,Chennai,Delhi,6.55,82.34,4.31,87,Closed,In Transit,13.080961,80.261684,2026-07-11 01:59:55
C033,S00698,Grapes,Hyderabad,Mumbai,2.94,86.18,4.42,72,Closed,Unloading,17.384254,78.459039,2026-07-05 18:00:55
C073,S00012,Strawberry,Chennai,Pune,7.79,70.16,3.33,77,Closed,In Transit,13.064782,80.273926,2026-07-08 23:41:55
C099,S00450,Papaya,Mumbai,Ahmedabad,4.74,78.26,1.49,92,Closed,In Transit,19.118489,72.90769,2026-07-06 16:17:55
C091,S00185,Banana,Delhi,Hyderabad,5.66,91.9,4.94,87,Closed,In Transit,28.597574,77.244562,2026-07-04 12:39:55
C061,S00710,Kiwi,Pune,Mumbai,6.76,83.95,3.66,89,Closed,In Transit,18.554993,73.819119,2026-07-05 09:03:55
C047,S00547,Apple,Hyderabad,Kolkata,5.01,82.13,4.65,96,Closed,In Transit,17.416999,78.438216,2026-07-07 04:52:55
C054,S00561,Pineapple,Ahmedabad,Kolkata,2.55,91.8,0.21,87,Closed,Delivered,22.985795,72.560715,2026-07-06 15:58:55
C096,S00103,Mango,Pune,Kolkata,2.41,94.34,4.28,89,Closed,In Transit,18.508845,73.858382,2026-07-10 23:49:55
C065,S00320,Apple,Pune,Ahmedabad,5.97,84.22,4.75,96,Closed,In Transit,18.481788,73.843765,2026-07-09 09:03:55
C018,S00921,Orange,Pune,Kolkata,6.42,85.92,0.69,96,Closed,In Transit,18.511,73.867231,2026-07-07 07:02:55
C055,S00978,Pineapple,Hyderabad,Pune,3.16,94.64,2.09,84,Closed,Loading,17.348998,78.441351,2026-07-04 13:18:55
C047,S00806,Strawberry,Pune,Hyderabad,4.93,82.43,1.35,78,Closed,In Transit,18.470585,73.831041,2026-07-10 06:46:55
C045,S00445,Orange,Hyderabad,Ahmedabad,2.77,80.52,0.04,75,Closed,Loading,17.341843,78.459023,2026-07-05 12:37:55
C010,S00896,Pineapple,Mumbai,Pune,6.86,83.67,1.1,96,Closed,In Transit,19.11591,72.884941,2026-07-05 22:15:55
C072,S00473,Grapes,Pune,Mumbai,3.42,94.33,3.45,97,Closed,Delivered,18.470798,73.873054,2026-07-08 06:25:55
C035,S00687,Mango,Mumbai,Kolkata,3.89,72.48,0.93,92,Closed,Unloading,19.079214,72.865318,2026-07-10 11:31:55
C036,S00902,Pomegranate,Chennai,Bangalore,2.91,94.49,0.12,82,Closed,Delivered,13.112361,80.257239,2026-07-08 10:56:55
C079,S00255,Pomegranate,Mumbai,Pune,6.77,92.35,0.07,75,Closed,In Transit,19.039069,72.918117,2026-07-08 07:21:55
C049,S00467,Pineapple,Kolkata,Bangalore,4.43,71.8,4.26,75,Closed,In Transit,22.528184,88.32568,2026-07-11 05:51:55
C067,S00829,Grapes,Chennai,Delhi,6.94,73.61,1.02,93,Closed,Loading,13.101047,80.266499,2026-07-05 21:47:55
C091,S00160,Pineapple,Kolkata,Pune,5.39,87.37,1.38,95,Closed,In Transit,22.593292,88.390731,2026-07-09 03:14:55
C055,S00518,Mango,Mumbai,Delhi,4.41,79.77,4.41,81,Open,Delivered,19.107141,72.925387,2026-07-10 09:24:55
C045,S00057,Grapes,Bangalore,Hyderabad,6.96,90.1,4.07,72,Closed,Delivered,12.955907,77.546344,2026-07-09 02:18:55
C084,S00484,Banana,Delhi,Pune,3.38,93.39,0.97,98,Closed,In Transit,28.570695,77.211388,2026-07-05 16:07:55
C031,S00908,Strawberry,Pune,Chennai,3.37,90.07,4.71,73,Closed,In Transit,18.506945,73.889045,2026-07-11 07:56:55
C017,S00375,Orange,Mumbai,Hyderabad,4.15,90.19,2.57,94,Closed,Delivered,19.119862,72.887193,2026-07-07 23:23:55
C067,S00982,Pineapple,Hyderabad,Ahmedabad,2.18,76.98,4.72,79,Closed,Delivered,17.397177,78.453948,2026-07-07 00:25:55
C035,S00530,Strawberry,Bangalore,Kolkata,7.77,93.54,3.6,95,Closed,Delivered,12.940108,77.570124,2026-07-10 09:16:55
C026,S00172,Grapes,Bangalore,Chennai,7.26,92.05,0.03,93,Closed,Unloading,12.925426,77.643403,2026-07-06 08:54:55
C022,S00696,Grapes,Hyderabad,Pune,3.61,86.85,0.7,86,Closed,In Transit,17.418922,78.497103,2026-07-10 16:37:55
C022,S00415,Kiwi,Chennai,Hyderabad,3.33,81.79,3.61,92,Closed,Loading,13.099665,80.291512,2026-07-06 13:45:55
C036,S00052,Strawberry,Delhi,Bangalore,6.29,87.18,4.59,82,Open,In Transit,28.640658,77.217763,2026-07-06 02:10:55
C083,S00423,Grapes,Pune,Mumbai,3.44,83.48,1.97,100,Closed,Loading,18.558453,73.89541,2026-07-05 23:39:55
C066,S00970,Pomegranate,Bangalore,Hyderabad,6.96,77.43,4.01,81,Closed,Delivered,12.968842,77.59614,2026-07-11 10:23:55
C014,S00911,Banana,Ahmedabad,Hyderabad,6.44,70.41,4.45,91,Closed,Loading,22.996602,72.559959,2026-07-09 02:42:55
C093,S00886,Pomegranate,Kolkata,Delhi,3.61,70.12,3.33,94,Closed,In Transit,22.52999,88.389486,2026-07-05 08:21:55
C012,S00401,Strawberry,Hyderabad,Delhi,4.17,94.73,0.48,77,Open,In Transit,17.367132,78.464615,2026-07-10 19:24:55
C077,S00861,Papaya,Bangalore,Pune,3.27,85.51,4.77,82,Closed,Loading,13.015852,77.587847,2026-07-07 04:34:55
C061,S00477,Orange,Bangalore,Kolkata,5.96,75.33,1.36,94,Closed,Loading,13.00606,77.620351,2026-07-09 22:54:55
C061,S00373,Strawberry,Bangalore,Delhi,5.76,78.52,0.23,70,Closed,In Transit,13.012233,77.622174,2026-07-08 18:16:55
C096,S00828,Papaya,Pune,Kolkata,3.83,80.51,4.1,83,Closed,Unloading,18.505478,73.904699,2026-07-06 05:34:55
C038,S00939,Pomegranate,Bangalore,Hyderabad,6.58,85.66,3.3,80,Closed,In Transit,12.950515,77.615431,2026-07-09 01:02:55
C043,S00025,Strawberry,Ahmedabad,Chennai,4.62,79.33,1.32,89,Closed,Loading,23.010344,72.60637,2026-07-05 05:05:55
C012,S00379,Strawberry,Chennai,Kolkata,2.43,71.56,0.41,97,Closed,In Transit,13.097982,80.316368,2026-07-10 04:29:55
C062,S00684,Banana,Hyderabad,Chennai,4.99,93.73,2.85,70,Closed,In Transit,17.401931,78.484964,2026-07-06 01:45:55
C068,S00408,Orange,Bangalore,Delhi,5.36,80.97,1.89,83,Closed,Unloading,12.924768,77.629478,2026-07-09 14:53:55
C033,S00633,Banana,Pune,Delhi,6.37,84.43,1.28,77,Closed,Unloading,18.55509,73.822127,2026-07-08 13:18:55
C095,S00371,Apple,Bangalore,Chennai,5.53,92.59,4.34,99,Closed,In Transit,12.959551,77.620331,2026-07-08 22:26:55
C006,S00082,Pineapple,Ahmedabad,Chennai,2.64,86.94,3.79,81,Open,In Transit,22.981942,72.526362,2026-07-09 21:02:55
C072,S00104,Apple,Ahmedabad,Mumbai,2.88,94.75,3.77,89,Closed,Loading,23.008044,72.564814,2026-07-08 19:16:55
C034,S00599,Papaya,Pune,Kolkata,7.97,88.63,4.91,71,Closed,Loading,18.496427,73.838343,2026-07-10 03:32:55
C022,S00954,Grapes,Delhi,Bangalore,7.8,78.62,1.65,77,Closed,In Transit,28.60125,77.159629,2026-07-07 19:40:55
C034,S00424,Pineapple,Delhi,Pune,2.35,86.13,2.46,78,Closed,In Transit,28.626139,77.207385,2026-07-08 20:07:55
C079,S00832,Grapes,Pune,Bangalore,6.06,70.82,4.54,78,Closed,In Transit,18.552214,73.807806,2026-07-05 13:03:55
C091,S00602,Papaya,Hyderabad,Ahmedabad,7.62,75.18,4.05,97,Closed,Delivered,17.355797,78.451065,2026-07-11 00:44:55
C002,S00141,Strawberry,Ahmedabad,Hyderabad,4.94,93.9,1.4,86,Closed,In Transit,23.008383,72.557311,2026-07-09 10:39:55
C041,S00056,Banana,Ahmedabad,Kolkata,2.96,78.2,0.76,95,Closed,In Transit,23.06048,72.60874,2026-07-07 05:02:55
C099,S00744,Kiwi,Hyderabad,Kolkata,3.3,91.44,4.65,81,Closed,In Transit,17.421633,78.447489,2026-07-06 03:17:55
C049,S00137,Strawberry,Hyderabad,Mumbai,4.51,77.69,3.52,86,Closed,Loading,17.383202,78.485244,2026-07-11 06:55:55
C013,S00935,Apple,Kolkata,Pune,5.99,87.8,4.35,97,Closed,In Transit,22.584929,88.332233,2026-07-06 08:29:55
C033,S00617,Mango,Bangalore,Kolkata,5.28,81.15,4.33,72,Closed,In Transit,13.016605,77.606958,2026-07-06 04:35:55
C049,S00965,Pomegranate,Ahmedabad,Pune,4.45,74.99,1.4,99,Closed,Loading,23.054296,72.570475,2026-07-05 20:49:55
C022,S00451,Kiwi,Chennai,Ahmedabad,7.9,75.71,3.57,98,Closed,In Transit,13.109014,80.311979,2026-07-05 03:11:55
C023,S00971,Strawberry,Hyderabad,Pune,3.68,87.19,3.95,87,Closed,In Transit,17.408477,78.445182,2026-07-10 18:28:55
C040,S00483,Apple,Kolkata,Mumbai,6.05,72.68,0.88,98,Closed,In Transit,22.602616,88.331934,2026-07-10 11:33:55
C036,S00349,Grapes,Mumbai,Kolkata,6.26,88.76,4.82,73,Closed,In Transit,19.031234,72.837641,2026-07-04 17:34:55
C001,S00030,Papaya,Hyderabad,Mumbai,7.19,91.63,3.84,86,Closed,In Transit,17.335458,78.477999,2026-07-07 03:38:55
C009,S00462,Apple,Delhi,Ahmedabad,7.8,71.06,1.91,93,Closed,Loading,28.579058,77.213731,2026-07-08 04:47:55
C017,S00852,Grapes,Kolkata,Delhi,4.46,76.49,3.23,91,Closed,In Transit,22.538176,88.384747,2026-07-09 06:42:55
C015,S00425,Kiwi,Kolkata,Chennai,5.94,84.7,0.36,92,Closed,Delivered,22.59763,88.389441,2026-07-04 14:03:55
C087,S00711,Mango,Kolkata,Pune,7.57,92.56,3.37,75,Closed,In Transit,22.529759,88.315111,2026-07-10 19:10:55
C018,S00849,Strawberry,Delhi,Kolkata,6.26,86.78,3.42,72,Closed,In Transit,28.578346,77.182382,2026-07-10 03:00:55
C039,S00704,Grapes,Chennai,Kolkata,2.85,82.23,1.1,74,Closed,Unloading,13.060877,80.280408,2026-07-05 11:41:55
C096,S00752,Strawberry,Mumbai,Chennai,4.92,77.64,3.97,72,Closed,In Transit,19.073154,72.880182,2026-07-06 13:26:55
C049,S00681,Orange,Ahmedabad,Pune,3.72,79.44,0.37,77,Closed,In Transit,22.992713,72.612781,2026-07-10 17:28:55
C091,S00947,Mango,Kolkata,Mumbai,7.41,85.52,4.3,93,Closed,In Transit,22.537775,88.342573,2026-07-07 21:04:55
C062,S00536,Apple,Ahmedabad,Mumbai,2.4,92.92,1.39,99,Closed,Loading,23.057583,72.592697,2026-07-04 21:11:55
C007,S00588,Apple,Delhi,Bangalore,2.23,74.68,2.31,95,Open,Delivered,28.592829,77.172816,2026-07-05 07:50:55
C077,S00385,Orange,Chennai,Delhi,6.58,75.69,4.11,70,Closed,Loading,13.043468,80.304322,2026-07-06 19:17:55
C076,S00633,Banana,Ahmedabad,Pune,5.06,93.34,0.5,75,Open,Loading,22.986686,72.552156,2026-07-07 19:09:55
C017,S00306,Orange,Bangalore,Delhi,3.86,94.8,0.68,85,Closed,Loading,12.93627,77.628135,2026-07-06 01:15:55
C081,S00977,Pomegranate,Hyderabad,Bangalore,6.47,79.04,2.24,87,Closed,Delivered,17.33835,78.483363,2026-07-05 00:41:55
C092,S00880,Orange,Hyderabad,Pune,5.04,74.89,1.66,84,Closed,In Transit,17.365463,78.492716,2026-07-08 11:22:55
C001,S00887,Kiwi,Pune,Hyderabad,4.31,72.25,4.65,74,Closed,In Transit,18.507292,73.840891,2026-07-09 02:41:55
C033,S00040,Mango,Ahmedabad,Delhi,7.32,71.79,1.35,96,Closed,In Transit,23.001186,72.550802,2026-07-06 10:12:55
C071,S00716,Papaya,Kolkata,Delhi,6.88,71.98,1.71,86,Closed,In Transit,22.618022,88.387812,2026-07-08 05:48:55
C005,S00800,Pomegranate,Chennai,Hyderabad,2.22,72.57,2.01,98,Closed,In Transit,13.104809,80.288493,2026-07-06 13:44:55
C042,S00246,Pineapple,Delhi,Hyderabad,7.43,72.61,4.06,79,Closed,In Transit,28.660556,77.168453,2026-07-07 15:40:55
C027,S00227,Banana,Kolkata,Ahmedabad,3.63,80.69,2.19,74,Closed,Loading,22.617252,88.397034,2026-07-05 01:21:55
C001,S00110,Pineapple,Ahmedabad,Mumbai,3.77,91.65,1.53,75,Closed,Loading,23.041119,72.619242,2026-07-07 17:08:55
C014,S00739,Orange,Ahmedabad,Hyderabad,6.84,80.33,1.4,78,Closed,In Transit,23.016092,72.524583,2026-07-06 06:54:55
C091,S00812,Mango,Ahmedabad,Delhi,4.3,93.74,3.05,71,Closed,In Transit,23.059108,72.606714,2026-07-05 14:43:55
C042,S00648,Strawberry,Mumbai,Hyderabad,2.48,94.94,0.92,99,Closed,In Transit,19.091779,72.837688,2026-07-08 00:39:55
C091,S00644,Mango,Chennai,Mumbai,2.04,82.81,1.66,92,Closed,In Transit,13.087117,80.248754,2026-07-08 07:56:55
C012,S00571,Pineapple,Pune,Mumbai,6.11,89.19,4.21,93,Open,In Transit,18.50236,73.828171,2026-07-09 03:31:55
C080,S00635,Banana,Chennai,Ahmedabad,4.19,93.3,3.42,96,Closed,In Transit,13.099922,80.266323,2026-07-11 03:00:55
C036,S00314,Grapes,Mumbai,Pune,3.4,90.73,0.6,92,Closed,Loading,19.031712,72.848596,2026-07-05 20:01:55
C014,S00852,Apple,Bangalore,Ahmedabad,5.34,77.07,2.49,73,Closed,Loading,12.997506,77.596169,2026-07-09 21:49:55
C052,S00359,Banana,Kolkata,Pune,6.78,94.09,1.83,78,Closed,Loading,22.594524,88.41046,2026-07-08 17:37:55
C098,S00487,Banana,Hyderabad,Ahmedabad,7.92,88.8,0.46,86,Closed,Loading,17.376686,78.477823,2026-07-06 03:00:55
C033,S00556,Strawberry,Hyderabad,Ahmedabad,5.37,77.95,4.87,72,Closed,Unloading,17.412472,78.496083,2026-07-05 08:03:55
C091,S00333,Grapes,Ahmedabad,Bangalore,7.1,77.26,1.38,76,Closed,Delivered,23.003364,72.593433,2026-07-07 19:52:55
C006,S00576,Pineapple,Ahmedabad,Hyderabad,5.33,78.43,4.92,85,Closed,In Transit,23.054376,72.561,2026-07-07 11:49:55
C011,S00937,Apple,Hyderabad,Chennai,2.15,82.73,0.2,70,Closed,In Transit,17.426294,78.442666,2026-07-09 05:50:55
C061,S00355,Papaya,Bangalore,Mumbai,5.18,87.71,0.81,81,Closed,Loading,12.932885,77.569247,2026-07-07 03:06:55
C046,S00535,Mango,Mumbai,Hyderabad,7.69,83.89,3.03,100,Closed,In Transit,19.118502,72.918224,2026-07-08 10:02:55
C036,S00083,Strawberry,Bangalore,Pune,6.76,70.93,0.86,91,Closed,In Transit,12.971981,77.559503,2026-07-06 17:22:55
C038,S00565,Kiwi,Kolkata,Chennai,6.05,87.71,3.94,84,Closed,In Transit,22.614438,88.382712,2026-07-07 08:30:55
C068,S00971,Pineapple,Chennai,Bangalore,6.24,92.21,2.97,86,Closed,In Transit,13.035369,80.257316,2026-07-11 09:34:55
C027,S00619,Apple,Chennai,Pune,7.09,82.99,3.2,70,Closed,Loading,13.060121,80.238365,2026-07-07 17:55:55
C005,S00132,Kiwi,Ahmedabad,Pune,7.9,86.36,4.42,82,Closed,In Transit,23.02576,72.549787,2026-07-08 18:29:55
C020,S00315,Pomegranate,Bangalore,Ahmedabad,6.75,83.68,1.34,98,Closed,In Transit,12.944283,77.619814,2026-07-09 18:53:55
C033,S00905,Papaya,Chennai,Mumbai,5.94,79.82,3.52,81,Closed,Unloading,13.074502,80.256867,2026-07-04 21:22:55
C028,S00563,Banana,Chennai,Delhi,7.19,80.42,4.15,76,Closed,In Transit,13.090391,80.280472,2026-07-10 12:24:55
C056,S00865,Kiwi,Hyderabad,Pune,4.51,79.57,1.1,94,Closed,In Transit,17.340447,78.448735,2026-07-05 17:16:55
C046,S00454,Pineapple,Bangalore,Hyderabad,6.16,80.94,0.46,81,Closed,In Transit,12.933542,77.64079,2026-07-08 14:37:55
C073,S00806,Apple,Kolkata,Ahmedabad,3.45,75.49,3.14,87,Closed,In Transit,22.601475,88.347522,2026-07-08 01:14:55
C076,S00064,Strawberry,Kolkata,Pune,6.69,86.79,3.82,95,Closed,In Transit,22.580507,88.386771,2026-07-05 19:11:55
C054,S00368,Papaya,Mumbai,Chennai,4.16,93.74,3.82,85,Closed,In Transit,19.083973,72.853846,2026-07-09 13:51:55
